Agency,CN ID,SON ID,Supplier Name,Supplier ABN,Description,Category,Agency Ref. ID,Publish Date,Start Date,End Date,Value (AUD)
Administrative Appeals Tribunal,CN3495978,,ETHAN GROUP PTY LTD,93099503456,Cisco ONE Nexus 9K Fixed with 48p10G SFP+ 6p40G,Computers,4500000174,9-Apr-18,19-Mar-18,16-Mar-19,"54,071.12"
Administrative Appeals Tribunal,CN3495979,,ETHAN GROUP PTY LTD,93099503456,Cisco ONE Nexus 9K Fixed with 48p10G SFP,Computers,4500000176,9-Apr-18,19-Mar-18,19-Mar-19,"54,071.12"
Administrative Appeals Tribunal,CN3495980,,BRAINPOWER TRAINING P/L,63064883932,Delivery of 3 days of Team Building training for B Individual HBDI profiles for all participants,Human resources services,4500000177,9-Apr-18,19-Mar-18,30-Apr-18,"19,099.30"
Administrative Appeals Tribunal,CN3495981,,INTEC 1 PTY LTD,66099092681,Security Design and Construction,Project administration or planning,4500000178,9-Apr-18,19-Mar-18,30-Jun-18,"184,690.00"
Administrative Appeals Tribunal,CN3495982,,ETHAN GROUP PTY LTD,93099503456,Multiple IT assets,Computer Equipment and Accessories,4500000180,9-Apr-18,20-Mar-18,4-Oct-18,"13,239.60"
Administrative Appeals Tribunal,CN3495983,,DIMENSION DATA AUSTRALIA P/L,65003371239,Carbon Black Protect License,Software,4500000181,9-Apr-18,26-Mar-18,30-Apr-18,"251,857.76"
Administrative Appeals Tribunal,CN3495984,,EMT DISTRIBUTION P/L,46132174951,Secret Server Software,Software,4500000182,9-Apr-18,27-Mar-18,30-Apr-18,"19,969.95"
Administrative Appeals Tribunal,CN3495985,,COLLIERS INTERNATIONAL PROJECT SERV,94003734692,Approved variations to Colliers design project,Project management,4500000183,9-Apr-18,28-Mar-18,30-Apr-18,"412,850.90"
Administrative Appeals Tribunal,CN3495986,,DATA #3 LIMITED,31010545267,NetScaler VPX 8000 Mbps Enterprise Edition,Software,4500000184,9-Apr-18,29-Mar-18,30-Apr-18,"56,769.59"
Administrative Appeals Tribunal,CN3495987,,DATA #3 LIMITED,31010545267,RSA SecurdID soft token seeds,Software,4500000185,9-Apr-18,29-Mar-18,30-Apr-18,"10,483.13"
Administrative Appeals Tribunal,CN3495988,,SOUTHERN CROSS COMPUTING,71008626131,Technical upgrade to SAP,Software,4500000186,9-Apr-18,29-Mar-18,30-Apr-18,"330,616.00"
Administrative Appeals Tribunal,CN3495989,,RECORDKEEPING INNOVATION,14103834911,Record management consultancy service,Management support services,4500000188,9-Apr-18,5-Apr-18,18-Jun-18,"70,300.00"
Administrative Appeals Tribunal,CN3495990,,ART SECURITY PTY LTD,47044588084,Type 1A Alarm Monitoring Service,Alarm systems,4500000189,9-Apr-18,5-Apr-18,30-Jun-18,"29,999.99"
Administrative Appeals Tribunal,CN3496019,,OPC Pty Ltd,29008657618,PowerEdge M640 Server,Computer servers,,9-Apr-18,1-Feb-18,30-Jun-18,"55,435.60"
Administrative Appeals Tribunal,CN3496020,,FDC Construction,61603471094,Minor building works - Adelaide Office,General building construction,,9-Apr-18,24-Feb-18,7-Apr-18,"48,057.90"
Administrative Appeals Tribunal,CN3498717,SON3413842,Ethos BeathChapman,55390245382,Consultant for Enterprise Architecture      ,Information technology consultation services,,19-Apr-18,5-Dec-17,31-Mar-18,"65,828.00"
Asbestos Safety and Eradication Agency,CN3479253,,Mountain Media Pty Ltd,61129822859,Media strategy and opportunities,Strategic planning consultation services,AA14/14,12-Jan-18,1-Jul-17,30-Jun-18,"52,800.00"
Asbestos Safety and Eradication Agency,CN3481042,,Prinicple Co.,16601848926,provision of expert media communications services,Information technology consultation services,,24-Jan-18,19-Nov-17,19-Jan-18,"10,164.00"
Asbestos Safety and Eradication Agency,CN3482037,,Australasian Society for HIV Medicine,48264545457,specialist event management and delegate registration services,Events management,,2-Feb-18,6-Mar-17,30-Jun-18,"16,104.85"
Asbestos Safety and Eradication Agency,CN3482049,,Restuarant Associaters,41000683125,specialist event catering services,Banquet and catering services,,2-Feb-18,24-Jan-17,31-Dec-17,"119,012.25"
Asbestos Safety and Eradication Agency,CN3482536,,Park Hyatt Hotel,18874851336,2017 Summit accommodation,Hotel rooms,,6-Feb-18,24-Nov-17,29-Nov-17,"31,750.00"
Asbestos Safety and Eradication Agency,CN3487860,SON3352211,Hall & Partners Pty Ltd,28130990288,Research and evaluation services,Market research,AA16/50,1-Mar-18,13-Feb-18,27-Apr-18,"35,000.00"
Asbestos Safety and Eradication Agency,CN3491456,,Doltone House,62119578362,Venue and catering,Events management,AA18/8,19-Mar-18,9-Mar-18,24-Nov-18,"57,500.00"
Asbestos Safety and Eradication Agency,CN3493029,,Colmar Brunton Pty Ltd,22003748981,conduct a national asbestos awareness benchmark survey ,Market research,,26-Mar-18,26-Mar-18,30-Jun-18,"73,920.00"
Asbestos Safety and Eradication Agency,CN3495057,,Pullman Hotels and Resorts,81122720772,Venue hire for seminar to raise awareness about imported goods containing asbestos,Events management,,4-Apr-18,27-Mar-18,1-May-18,"12,066.85"
Asbestos Safety and Eradication Agency,CN3497498,,Sheraton on the Park Hotel,84601542134,Venue hire for 2018 ASEA conference,Events management,,13-Apr-18,15-Mar-18,23-Nov-18,"108,000.00"
Asbestos Safety and Eradication Agency,CN3499061,SON3352211,Ithaca Group,58096067220,Provision of research services,Research programs,AA18/16,24-Apr-18,6-Apr-18,22-Jun-18,"46,640.00"
Asbestos Safety and Eradication Agency,CN3500014,SON3352211,EY Sweeney,75288172749,Provision of research services,Research programs,AA18/14,24-Apr-18,26-Mar-18,8-Jun-18,"39,706.00"
Attorney-General's Department,CN3477988,SON661641,Datacom Systems (ACT) Pty Ltd,39135427075,IT Servers and Associated Services,Computer servers,0042002366,5-Jan-18,22-Dec-17,22-Dec-21,"1,470,201.70"
Attorney-General's Department,CN3477989,SON1183392,Affinity Constructions,13161165966,Building works,Building construction and support and maintenance and repair services,0042002365,5-Jan-18,21-Dec-17,31-Jan-18,"74,628.95"
Attorney-General's Department,CN3477990,,Dicker Data Limited,95000969362,ICT Data Security Protection,Management information systems MIS,0041004393,5-Jan-18,28-Jul-16,28-Jul-17,"127,452.69"
Attorney-General's Department,CN3479242,,Compass Group (Australia) Pty Ltd,41000683125,Conference centre meeting,Hotels and lodging and meeting facilities,0041004405,12-Jan-18,12-Jan-18,16-Jan-18,"11,352.00"
Attorney-General's Department,CN3479243,,Zenith Interiors (ACT) Pty Ltd,52007403750,Office furniture - OH&S desks,Interior finishing,0041004404,12-Jan-18,2-Jan-18,31-Jan-18,"60,000.00"
Attorney-General's Department,CN3479244,,Department of Finance,61970632495,Audio Visual services,Audio visual services,0041004403,12-Jan-18,1-Jul-17,30-Jun-18,"27,400.00"
Attorney-General's Department,CN3479245,,John Anthony Hardy,71578476348,Writing and translation - Regional Guide,Technical writing,0041004402,12-Jan-18,14-Dec-17,4-May-18,"26,550.00"
Attorney-General's Department,CN3479246,,CEB International Holdings Inc,99127825932,Financial Leadership Council Membership,Education and Training Services,0041004400,12-Jan-18,1-Dec-17,30-Nov-18,"35,000.00"
Attorney-General's Department,CN3479247,,Anagha Joshi,94377037012,Project management - foreign technical assistance,Project management,0041004399,12-Jan-18,22-Dec-17,30-Jun-18,"48,514.00"
Attorney-General's Department,CN3479248,,Identity Care Aust & NZ Ltd,84164038966,Research data reporting,Market research,0041004398,12-Jan-18,1-Jan-18,30-Jun-18,"95,700.00"
Attorney-General's Department,CN3480154,SON3390763,RICOH Australia Pty Ltd,30000593171,Network Multi-Function Devices,Hardware,0042002369,19-Jan-18,15-Jan-18,18-Jul-20,"200,379.80"
Attorney-General's Department,CN3480155,SON2501421,Shearwater Solutions Pty Ltd,96083648524,IT Security,Information technology consultation services,0042002368,19-Jan-18,22-Jan-18,30-Jun-18,"179,000.00"
Attorney-General's Department,CN3480156,,Torque Software,31008622786,Financial Management Compliance System,Software as a Service (SaaS - Cloud),0041004410,19-Jan-18,16-Jan-18,16-Jan-20,"64,600.00"
Attorney-General's Department,CN3480157,,Department of Finance,61970632495,Website hosting services,Information technology consultation services,0041004408,19-Jan-18,15-Jan-18,21-Jan-18,"50,000.00"
Attorney-General's Department,CN3480158,,Entco Australia Pty Ltd,73614548346,Online training package - CM9,Computer services,0041004407,19-Jan-18,12-Jan-18,30-Jun-19,"58,858.80"
Attorney-General's Department,CN3481131,SON3461620,Think HQ Pty Ltd,56143646664,Event Management Services,Events management,0042002388,25-Jan-18,22-Jan-18,27-Apr-18,"143,863.55"
Attorney-General's Department,CN3481132,SON2917812,Hays Specialist Recruitment (Australia),47001407281,Labour hire,Personnel recruitment,0042002387,25-Jan-18,8-Jan-18,8-Jan-18,"170,000.00"
Attorney-General's Department,CN3481133,SON3125572,Ernst & Young,75288172749,Forensic audit -funding agreement compliance check,Audit services,0042002386,25-Jan-18,8-Jan-18,28-Feb-18,"65,000.00"
Attorney-General's Department,CN3481134,SON3469867,Morris Walker Pty. Ltd.,72060632617,Editing and Formatting Services,Editorial and support services,0042002385,25-Jan-18,15-Jan-18,30-Jun-18,"43,560.00"
Attorney-General's Department,CN3481135,SON3452510,CHUBB Fire & Security Pty Ltd,47000067541,Security Ugrades,Security and control equipment,0042002384,25-Jan-18,22-Jan-18,30-Jun-18,"32,494.00"
Attorney-General's Department,CN3481136,SON2501421,Saltbush Consulting Pty Ltd,58134662963,Computer system IRAP assessment,Information technology consultation services,0042002383,25-Jan-18,17-Jul-17,17-Apr-18,"42,900.00"
Attorney-General's Department,CN3481137,SON3452510,CHUBB Fire & Security Pty Ltd,47000067541,Security upgrade,Security and control equipment,0042002382,25-Jan-18,19-Jan-18,31-Jan-18,"83,311.67"
Attorney-General's Department,CN3481138,SON3452510,CHUBB Fire & Security Pty Ltd,47000067541,Security upgrade,Security and control equipment,0042002381,25-Jan-18,19-Jan-18,30-Apr-18,"30,835.29"
Attorney-General's Department,CN3481139,SON1183392,Affinity Constructions,13161165966,Pavilion changes,Building construction and support and maintenance and repair services,0042002377,25-Jan-18,18-Jan-18,1-Feb-18,"20,647.55"
Attorney-General's Department,CN3481140,SON3469867,Couch Creative,87096282496,Graphic design,Graphic design,0042002376,25-Jan-18,22-Jan-18,20-Apr-18,"30,000.00"
Attorney-General's Department,CN3481141,SON867801,Clicks IT Recruitment,25348636087,IT Network Engineer,Temporary personnel services,0042002375,25-Jan-18,5-Feb-18,30-Jun-18,"149,520.00"
Attorney-General's Department,CN3481142,SON3408303,Bayley and Associates Pty Ltd,41262695229,Contract Management Training,Education and Training Services,0042002372,25-Jan-18,20-Feb-18,20-Feb-19,"12,320.00"
Attorney-General's Department,CN3481143,SON867801,Talent International (ACT) Pty Ltd,95121819305,Software developer,Information technology consultation services,0042002371,25-Jan-18,22-Jan-18,30-Jun-18,"165,600.00"
Attorney-General's Department,CN3481144,,A.J. Dever Pty Ltd,16618847608,Extradition services,Legal services,0041004409,25-Jan-18,17-Jan-18,16-Jan-20,"20,000.00"
Attorney-General's Department,CN3481437,SON1700081,Synergy Group Australia Pty Ltd,65119369827,Assessment of salary for superannuation purposes.,Management advisory services,AGS22722416,29-Jan-18,18-Dec-17,17-Jun-18,"97,700.00"
Attorney-General's Department,CN3482028,SON867801,Hays Specialist Recruitment (Australia),47001407281,Labour Hire - Specialist IT Networking projects,Temporary personnel services,0042002390,2-Feb-18,5-Feb-18,29-Jun-18,"120,120.00"
Attorney-General's Department,CN3482029,SON2917812,Hays Specialist Recruitment (Australia),47001407281,Recruitment - communications project management,Personnel recruitment,0042002389,2-Feb-18,5-Mar-18,2-Nov-18,"145,000.00"
Attorney-General's Department,CN3482030,,Trent Glover,32761637466,Extradition - Waiver proceedings,Legal services,0041004417,2-Feb-18,23-Jan-18,30-Jun-19,"15,000.00"
Attorney-General's Department,CN3482031,,PODCON Pty Ltd,79605477183,Communications room remediation,Building construction and support and maintenance and repair services,0041004416,2-Feb-18,17-Jan-18,23-Jan-18,"110,000.00"
Attorney-General's Department,CN3482032,,Manuka Realty Pty Ltd,55110216610,Chiller repair,Building construction and support and maintenance and repair services,0041004415,2-Feb-18,25-Jan-18,30-Jun-18,"16,117.28"
Attorney-General's Department,CN3482033,,Datavoice Communications,75008624593,Communicatons Unit,Communications Devices and Accessories,0041004414,2-Feb-18,24-Jan-18,30-Jun-18,"77,000.00"
Attorney-General's Department,CN3482034,,Manuka Realty Pty Ltd,55110216610,Fuel tank repairs,Building construction and support and maintenance and repair services,0041004411,2-Feb-18,22-Jan-18,30-Jun-18,"21,550.10"
Attorney-General's Department,CN3483871,SON661641,Dimension Data Australia Pty Ltd,65003371239,Software Maintenance and Support,Software maintenance and support,0042002399,9-Feb-18,2-Feb-18,31-May-19,"96,880.86"
Attorney-General's Department,CN3483872,,Australian Institute of Health,16515245497,Research services - older Indigenous Australians,Research programs,0041004424,9-Feb-18,19-Dec-17,29-Jun-18,"79,800.00"
Attorney-General's Department,CN3483873,,Amazon Web Services Inc,ABN Exempt,Cloud hosted online information systems,Information services,0041004421,9-Feb-18,1-Feb-18,30-Jun-18,"30,000.00"
Attorney-General's Department,CN3483877,SON3295723,Dell Computer Limited,46003855561,ICT Hardware,Hardware,0042002403,9-Feb-18,8-Feb-18,22-Feb-18,"117,480.00"
Attorney-General's Department,CN3483878,SON867801,Hays Specialist Recruitment (Australia),47001407281,ICT Contractor Services,Temporary personnel services,0042002398,9-Feb-18,12-Feb-18,30-Jun-18,"108,240.00"
Attorney-General's Department,CN3483879,SON661641,Data#3 Ltd,31010545267,IT hardware - HP tapes and cleaning tapes,Electronic hardware and component parts and accessories,0042002397,9-Feb-18,15-Feb-18,28-Feb-18,"35,932.60"
Attorney-General's Department,CN3483880,SON2917812,Hays Specialist Recruitment (Australia),47001407281,Temporary staff services,Temporary personnel services,0042002392,9-Feb-18,1-Mar-18,31-Aug-18,"81,857.66"
Attorney-General's Department,CN3483881,SON661641,Datacom Systems (ACT) Pty Ltd,39135427075,IT equipment -Hewlett Packard top or rack switches,Computer Equipment and Accessories,0042002391,9-Feb-18,19-Feb-18,30-Apr-18,"244,910.32"
Attorney-General's Department,CN3483882,,Trent Glover,32761637466,Extradition - Surrender eligibility,Legal services,0041004418,9-Feb-18,29-Jan-18,28-Jan-20,"30,000.00"
Attorney-General's Department,CN3484264,SON3453059,AOT Group Ltd,23106495498,Accommodation services,Travel facilitation,,12-Feb-18,16-Oct-17,30-Jun-20,"2,634,129.36"
Attorney-General's Department,CN3485200,SON661641,Data#3 Ltd,31010545267,Hardware Support and Maintenance,Computer hardware maintenance or support,0042002406,16-Feb-18,18-Jan-18,28-Feb-19,"110,905.23"
Attorney-General's Department,CN3485201,SON661641,Datacom Systems (ACT) Pty Ltd,39135427075,Protected Unclass WiFi for Banking RC,Computer Equipment and Accessories,0042002404,16-Feb-18,12-Feb-18,21-Aug-20,"200,000.00"
Attorney-General's Department,CN3485202,SON661641,Ethan Group Pty Ltd,93099503456,Software maintenance and support,Software maintenance and support,0042002400,16-Feb-18,18-Feb-18,19-Feb-18,"14,355.00"
Attorney-General's Department,CN3485203,,Australian Government Solicitor,69405937639,Legal Service Provider - Professional Fees,Legal services,0041004429,16-Feb-18,18-Dec-17,28-Feb-19,"10,000,000.00"
Attorney-General's Department,CN3485204,,Australian Strategic Policy,77097369045,ASPI Bronze-Tiered Sponsorship,Professional associations,0041004426,16-Feb-18,1-Jul-17,30-Jun-18,"55,000.00"
Attorney-General's Department,CN3485205,,Corporate Keys Australia Pty Ltd,97007381704,Accommodation lease,Lease and rental of property or building,0041004425,16-Feb-18,10-Feb-18,31-Mar-19,"350,000.00"
Attorney-General's Department,CN3485206,,Capezio Copeland Pty Ltd,74143562494,Designers Melbourne royal commission,Building construction and support and maintenance and repair services,0041004423,16-Feb-18,8-Feb-18,30-Jun-18,"44,000.00"
Attorney-General's Department,CN3485207,,Queensland University of Technology,83791724622,Training Services - Executive Management,Education and Training Services,0041004422,16-Feb-18,9-Apr-18,12-May-18,"10,650.00"
Attorney-General's Department,CN3486725,SON661641,Dimension Data Australia Pty Ltd,65003371239,Software Licences,Data Voice or Multimedia Network Equipment or Platforms and Accessories,0042002411,23-Feb-18,22-Feb-18,28-Feb-19,"27,163.40"
Attorney-General's Department,CN3486726,SON3125572,Callida Pty Ltd,40154007664,Financial Review,Temporary personnel services,0042002409,23-Feb-18,25-Jan-18,30-Jun-18,"95,000.00"
Attorney-General's Department,CN3486727,SON3408303,Wisdom Learning,90100891307,Delivery Manager Essentials Training,Human resources services,0042002407,23-Feb-18,16-Feb-18,30-Jun-18,"14,700.00"
Attorney-General's Department,CN3486728,SON867801,Hays Specialist Recruitment (Australia),47001407281,Solution architect,Information technology consultation services,0042002405,23-Feb-18,19-Feb-18,30-Jun-18,"117,040.00"
Attorney-General's Department,CN3486729,,Premier Office Relocations (NSW),59113487942,Transport of furniture,Office furniture,0041004432,23-Feb-18,15-Feb-18,28-Feb-18,"18,000.00"
Attorney-General's Department,CN3486730,,Dell Australia Pty Ltd,46003855561,Computer workstations for analysis network,Computer Equipment and Accessories,0041004427,23-Feb-18,13-Feb-18,30-Jun-18,"29,150.00"
Attorney-General's Department,CN3488654,,Independent Corporate Property,97156286083,Property Advisory Services,Feasibility studies or screening of project ideas,28922173,5-Mar-18,1-Dec-17,30-Jun-18,"22,000.00"
Attorney-General's Department,CN3488660,,Independent Corporate Property,97156286083,Property Advisory Services,Feasibility studies or screening of project ideas,28922173,5-Mar-18,1-Jul-17,1-Dec-18,"71,500.00"
Attorney-General's Department,CN3489234,,Oxford Unversity,ABN Exempt,Oxford University Online Subscriptions,Online database information retrieval systems,28922309,6-Mar-18,8-Feb-18,31-Dec-18,"14,590.37"
Attorney-General's Department,CN3489731,SON3429619,Affinity Constructions,13161165966,Pavilion changes,Building construction and support and maintenance and repair services,0042002416,9-Mar-18,2-Mar-18,5-Mar-18,"17,347.00"
Attorney-General's Department,CN3489732,SON2917812,Hays Specialist Recruitment (Australia),47001407281,Labour hire - legal officer,Temporary personnel services,0042002415,9-Mar-18,19-Feb-18,11-May-18,"50,000.00"
