"","Category","kf25","kf50","kf100","kfit100.sp$cluster","kfit150.sp$cluster","kfit150$cluster","kfit250$cluster","kfit250.sp$cluster"
"311","academic or scientific article writing",25,20,35,41,87,32,210,20
"312","general formation evaluation",23,12,53,21,91,20,12,205
"313","structural building products",23,12,46,36,150,119,198,42
"314","data processing or preparation services",2,13,68,94,63,101,221,189
"315","layout or graphics editing services",2,13,68,94,63,101,221,189
"316","public order and safety",23,12,18,96,23,70,41,167
"317","marine navigational or communication services",2,13,68,94,63,101,221,189
"318","network applications software",23,14,51,71,105,82,136,179
"319","fibre telecommunications services",1,50,36,98,149,80,164,108
"320","locks and security hardware and accessories",25,20,92,9,119,137,177,235
"321","editorial and support services",1,50,31,14,149,80,158,168
"322","organisations and clubs",14,36,89,21,91,16,71,205
"323","paper materials and products",23,35,46,36,22,130,198,96
"324","electrical systems and lighting and components and accessories and supplies",4,48,55,5,94,126,242,191
"325","electronic components and supplies",23,30,19,63,145,36,248,162
"326","business intelligence consulting services",2,13,68,94,63,101,221,189
"327","advertising agency services",1,50,31,98,149,80,219,106
"328","voice mail systems",17,27,100,13,92,150,241,220
"329","facilities management",14,36,44,31,135,24,237,192
"330","material handling and conditioning and storage machinery and their accessories and supplies",5,18,80,57,14,44,150,51
"331","helpdesk or call centre software",25,3,91,71,105,49,86,179
"332","software or hardware engineering",23,14,51,71,105,82,205,179
"333","desktop computers",14,36,10,30,98,35,20,132
"334","passenger air transportation",23,12,33,12,5,149,51,200
"335","published products",14,21,77,38,21,43,247,171
"336","utilities",7,2,8,86,137,15,184,150
"337","supply of single phase electricity",25,20,96,23,50,7,25,215
"338","network security equipment",19,6,87,20,33,17,3,241
"339","library",7,17,64,86,137,94,4,102
"340","cleaning and janitorial supplies",23,30,19,63,145,36,248,162
"341","hotels",7,2,8,86,137,15,34,150
"342","computer accessories",13,5,24,61,146,69,222,92
"343","meteorology",7,2,8,86,137,15,34,150
"344","electrical services",10,46,54,92,99,79,109,1
"345","property management",14,36,44,31,135,24,237,192
"346","pump integrity monitors",23,12,53,41,87,20,12,20
"347","supply of two phase electricity",25,20,96,23,50,7,25,215
"348","transportation services equipment",1,33,27,77,17,53,170,35
"349","environmental services",10,46,54,92,99,51,109,1
"350","grounds maintenance services",1,50,31,14,149,80,119,129
"351","desktop communications software",23,14,51,71,105,82,205,179
"352","tags",7,2,8,86,137,15,34,150
"353","amplifiers",7,2,8,35,110,15,34,165
"354","electrometers",7,2,8,35,110,15,34,165
"355","water or gas control evaluation services",15,8,40,18,65,125,120,224
"356","web platform development software",25,3,91,39,77,49,86,8
"357","periodicals",7,2,8,35,110,15,34,165
"358","mailing bags",14,36,89,21,91,78,36,205
"359","transcribing services",10,46,54,72,58,51,109,60
"360","mainframe administration services",21,50,23,15,84,80,84,14
"361","intelligence services",10,46,54,92,99,51,109,1
"362","reproduction services",10,46,54,72,58,51,109,60
"363","directories",7,2,8,86,137,15,34,150
"364","reference or background check services",2,13,68,98,149,101,221,106
"365","corporate objectives or policy development",25,20,35,62,64,32,210,127
"366","computer programmers",14,36,10,55,132,35,20,104
"367","mail opening machines",23,12,74,41,87,66,129,219
"368","legal research services",1,50,36,98,149,47,53,106
"369","mailers",7,2,8,35,110,15,34,165
"370","organisational structure consultation",23,12,53,41,87,33,80,20
"371","financial assistance",14,36,89,21,91,16,71,205
"372","quality assurance services",1,50,31,92,99,80,119,1
"373","dispute mediation or conciliation or negotiation or settlement",16,16,42,86,137,57,224,150
"374","scribers",7,2,8,35,110,15,34,165
"375","public utilities and public sector related services",5,18,83,32,68,100,137,244
"376","compact disc cd server software",25,3,91,39,77,49,86,8
"377","management development",14,36,44,31,135,24,237,192
"378","specialised warehousing and storage",23,12,57,40,87,55,103,153
"379","software patches or upgrades",23,14,51,71,105,82,205,179
"380","educational institutions",14,36,67,21,148,135,83,196
"381","temporary information technology software developers",3,16,45,47,85,9,155,89
"382","domestic appliances and supplies and consumer electronic products",4,48,55,5,94,126,17,243
"383","in service training and manpower development",2,13,11,87,63,50,160,148
"384","on line database information retrieval",25,20,35,62,64,32,210,127
"385","instruction writing services",1,50,31,98,149,80,140,106
"386","tax advisory services",1,50,31,98,149,80,119,5
"387","communications server software",23,14,51,71,105,82,205,179
"388","non technical writing",23,12,53,41,87,20,80,86
"389","credit agencies",14,36,89,21,91,16,71,205
"390","politics and civic affairs services",2,13,68,98,149,101,221,106
"391","technical writing",14,36,89,21,91,16,5,205
"392","taxation law",14,36,89,21,91,16,71,205
"393","refurbishing services",10,46,54,92,99,51,109,1
"394","audio visual services",1,50,31,98,149,80,119,12
"395","power generation and distribution machinery and accessories",16,16,81,47,69,45,70,142
"396","business cases",14,36,1,21,100,78,239,205
"397","material packing and handling",23,35,94,90,81,144,44,185
"398","meteorological services",10,46,54,92,99,51,109,1
"399","architectural services",10,46,54,92,99,51,109,1
"400","interior finishing",14,36,89,21,91,16,71,205
"401","environmental auditing",14,36,89,21,115,78,46,176
"402","psychologists services",10,46,54,72,58,51,109,60
"403","vocational rehabilitation services",1,50,31,98,149,80,119,106
"404","telemarketing",7,2,8,35,110,15,34,165
"405","physiology research services",1,50,36,92,99,47,53,1
"406","systems architecture",13,5,16,53,82,86,175,161
"407","physical therapy services",1,50,31,98,149,80,119,106
"408","individual health screening and assessment services",15,8,40,18,65,18,120,157
"409","interpreters",7,2,8,35,110,15,34,165
"410","vehicle leasing",14,7,62,21,122,84,81,137
"411","internet or intranet server application development services",12,43,72,67,29,99,93,94
"412","renovation of buildings or landmarks or monuments",25,20,35,41,108,32,210,133
"413","construction and maintenance support equipment",11,32,20,75,36,88,195,58
"414","interior finishing materials",23,35,94,90,81,144,44,185
"415","demolition services",10,46,54,72,58,51,109,60
"416","hydraulic systems and components",17,27,100,13,133,150,1,220
"417","elevators",7,2,8,86,137,15,34,150
"418","refuse disposal and treatment",23,12,53,41,87,37,12,20
"419","manufacturing support services",1,50,31,14,149,80,158,168
"420","letter writing services",1,50,31,98,149,80,140,106
"421","laboratory water purification equipment and supplies",16,16,76,6,2,26,101,28
"422","food and beverage products",23,12,46,36,150,119,198,42
"423","video and combination video and audio presentation equipment and hardware and controllers",9,37,69,69,12,122,30,183
"424","security and personal safety",23,12,18,96,23,70,41,167
"425","live plant and animal material and accessories and supplies",4,48,55,11,40,126,242,191
"426","national defence and public order and security and safety services",5,18,83,29,51,40,56,80
"427","work related organisations",23,12,53,41,87,33,80,20
"428","educational facilities",14,36,67,21,148,135,83,196
"429","transportation components and systems",17,27,100,13,133,150,1,220
"430","containers and storage",14,22,61,22,89,93,168,115
"431","office and desk accessories",18,30,48,9,103,11,176,210
"432","transportation repair or maintenance services",8,13,13,94,7,101,89,69
"433","air conditioners",14,36,89,86,137,133,71,57
"434","administrative agencies services",21,50,23,15,84,80,84,14
"435","career development services",1,50,31,98,149,80,119,106
"436","government information services",1,50,31,98,149,80,119,106
"437","signage and accessories",13,5,24,58,146,69,222,248
"438","vehicle bodies and trailers",23,12,79,41,43,95,45,55
"439","mineral and textile and inedible plant and animal materials",4,48,55,47,107,126,17,49
"440","post",7,2,8,86,137,15,34,150
"441","industrial refrigeration",14,36,89,21,83,133,124,249
"442","public safety and control",23,12,18,96,23,70,41,167
"443","personal computers",14,36,10,30,98,35,20,132
"444","document destruction services",1,50,31,98,149,80,119,106
"445","distribution and conditioning systems and equipment and components",20,16,76,6,26,19,78,97
"446","personal and domestic services",1,50,31,98,37,80,119,146
"447","personal safety and protection",23,12,18,96,23,70,41,167
"448","cleaning equipment and supplies",19,6,87,82,3,17,16,56
"449","manufacturing components and supplies",23,30,19,63,145,36,248,162
"450","erp or database applications programming services",15,8,40,18,65,18,120,157
"451","real estate brokers or agents",25,20,35,41,87,32,210,20
"452","application programming services",1,50,31,98,149,80,119,106
"453","temporary clerical or administrative assistance",25,20,35,62,64,32,210,127
"454","alcoholism prevention or control services",2,40,68,94,63,101,221,189
"455","temporary technician staffing needs",25,20,35,79,87,32,22,238
"456","management and operation of all facilities, engineering, modification and maintenance services for site or platform",9,37,41,32,24,100,217,217
"457","accounting services",10,46,54,92,99,51,109,221
"458","offset industrial printing services",2,13,47,94,63,101,134,68
"459","safety or risk analysis",23,12,18,96,23,70,41,167
"460","liability insurance",14,36,89,21,91,16,71,205
"461","legislators services",10,46,54,92,99,51,109,1
"462","files",7,2,8,86,137,15,34,150
"463","aircraft",7,31,39,27,71,139,234,156
"464","videoconferencing facilities",14,36,89,21,91,16,204,205
"465","government finance services",1,50,31,98,149,80,119,106
"466","business cards",14,36,1,21,100,78,239,205
"467","site offices",14,36,89,21,93,16,163,147
"468","policing services",10,46,54,92,99,51,109,1
"469","territorial claims or negotiations third party services",12,43,72,94,63,23,93,189
"470","management and provision of all facilities engineering modification and maintenance services for a site or platform",9,37,41,32,24,100,217,217
"471","communication equipment installation",19,6,87,20,3,17,47,247
"472","document management software",23,14,56,99,105,22,162,179
"473","author funded publishing services",2,13,68,94,63,101,221,189
"474","educational certificates or diplomas",23,12,53,21,148,134,12,196
"475","aircraft flight simulators or trainers",25,20,35,33,4,32,186,158
"476","architectural engineering",14,42,84,21,95,64,141,31
"477","work ethics or attitude training instructional materials",4,48,55,62,34,126,17,139
"478","developing self concept and self esteem instructional materials",9,37,41,32,68,42,122,244
"479","commercial aeroplane travel",23,38,53,41,87,54,63,20
"480","health education and nutrition and food preparation instructional materials",5,18,80,57,14,71,150,51
"481","hardware",7,2,8,86,137,15,133,150
"482","personal paper products",23,12,46,36,150,119,198,207
"483","human resources software",23,14,51,71,105,82,205,179
"484","stationary separation equipment or parts or screens",16,16,76,75,36,19,78,58
"485","emergency medical services first aid kits",12,43,72,67,29,23,93,94
"486","web page creation and editing software",3,16,45,47,85,9,110,62
"487","printing accessories",13,5,24,58,146,69,222,248
"488","temporary research and development services",2,13,68,94,63,2,221,189
"489","permanent information technology software developers",3,16,45,47,85,9,155,89
"490","cooling",7,2,8,35,110,15,34,165
"491","commercial or industrial facility rental",25,20,35,62,64,32,143,182
"492","long distance telephone services",2,13,68,94,63,101,221,189
"493","letter or small parcel local delivery services",12,43,72,67,29,23,93,94
"494","local area network lan maintenance or support",4,48,55,5,94,126,28,90
"495","building or building contents insurance",4,48,55,5,94,126,17,90
"496","payroll accounting services",1,50,31,92,99,80,119,221
"497","staff recruiting services",1,50,31,98,149,80,119,106
"498","digital telephones",14,36,89,21,91,16,62,67
"499","media storage devices",23,12,57,40,87,55,103,153
"500","military fixed wing aircraft",25,20,35,62,46,32,186,190
"501","conventional war weapons",23,12,53,41,87,20,12,20
"502","fighter aircraft",14,23,60,27,71,91,223,156
"503","vehicle headlight",14,7,62,86,137,84,81,102
"504","camping and outdoor equipment and accessories",11,32,34,75,36,102,182,128
"505","clothing accessories",13,5,24,58,146,69,222,248
"506","motor vehicles parts or accessories manufacture services",12,43,72,67,29,99,93,94
