Supplier.agency,Customer.agency
AUSTRALIAN INSTITUTE OF ABORIGINAL & TORRES STRAIT ISLANDER STUDIES,Australian War Memorial
AUSTRALIAN INSTITUTE OF CRIMINOLOGY,Bureau of Meteorology
AUSTRALIAN INSTITUTE OF FAMILY STUDIES,CRS Australia
AUSTRALIAN INSTITUTE OF HEALTH AND WELFARE,CSIRO
AUSTRALIAN LAW REFORM COMMISSION,Cancer Australia
AUSTRALIAN MARITIME COLLEGE,Centrelink
AUSTRALIAN MARITIME SAFETY AUTHORITY,Child Support Agency
AUSTRALIAN NATIONAL AUDIT OFFICE,Civil Aviation Safety Authority
AUSTRALIAN NATIONAL MARITIME MUSEUM,Commonwealth Grants Commission
AUSTRALIAN NUCLEAR SCIENCE AND TECHNOLOGY ORGANISATION,Comsuper
AUSTRALIAN OFFICE OF FINANCIAL MANAGEMENT,CrimTrac
AUSTRALIAN PESTICIDES AND VETERINARY MEDICINES AUTHORITY,Defence Materiel Organisation
AUSTRALIAN PRUDENTIAL REGULATION AUTHORITY,Department of Agriculture and Water Resources
Australian Public Service Commission,"Department of Communications, Information Technology and the Arts"
AUSTRALIAN RADIATION PROTECTION AND NUCLEAR SAFETY AGENCY (ARPANSA,Department of Defence
Australian Renewable Energy Agency,"Department of Education, Science and Training"
AUSTRALIAN RESEARCH COUNCIL,Department of Employment and Workplace Relations
AUSTRALIAN SECURITIES & INVESTMENTS COMMISSION,"Department of Families, Community Services & Indigenous Affairs"
AUSTRALIAN SECURITY INTELLIGENCE ORGANISATION,Department of Family and Community Services (FaCS)
AUSTRALIAN SPORTS COMMISSION,Department of Finance
AUSTRALIAN TAXATION OFFICE,Department of Foreign Affairs and Trade
AUSTRALIAN TRADE AND INVESTMENT COMMISSION,Department of Foreign Affairs and Trade - Australian Aid Program
AUSTRALIAN TRANSACTION REPORTS & ANALYSIS CENTRE (AUSTRAC,Department of Health
AUSTRALIAN VALUATION OFFICE,Department of Home Affairs
AUSTRALIAN WAR MEMORIAL,Department of Human Services
BUREAU OF METEOROLOGY,Department of Human Services Retired
Clean Energy Regulator,Department of Immigration and Multicultural Affairs
COMCARE AUSTRALIA,"Department of Industry, Tourism and Resources"
COMMONWEALTH GRANTS COMMISSION,Department of Parliamentary Services
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION,Department of Transport and Regional Services
COMSUPER,Department of Veterans' Affairs
CRIMTRAC AGENCY,Department of the Environment and Energy
CRS AUSTRALIA,Department of the Environment and Heritage
CSIRO & STATE OF VICTORIA,Department of the Environment and Water Resources
DEPARTMENT OF AGRICULTURE AND WATER RESOURCES - AUSTRALIA,Department of the House of Representatives
DEPARTMENT OF CLIMATE CHANGE AND ENERGY EFFICIENCY,Department of the Prime Minister and Cabinet
DEPARTMENT OF COMMUNICATIONS AND THE ARTS,Department of the Senate
DEPARTMENT OF DEFENCE,Department of the Treasury
DEPARTMENT OF EDUCATION AND TRAINING,Director of National Parks
DEPARTMENT OF EDUCATION EMPLOYMENT AND WORKPLACE RELATIONS,Equal Opportunity for Women in the Workplace Agency
DEPARTMENT OF EDUCATION SCIENCE & TRAINING,Family Court and Federal Circuit Court
DEPARTMENT OF EMPLOYMENT AND WORKPLACE RELATIONS,Federal Circuit Court of Australia
DEPARTMENT OF FINANCE,Federal Court of Australia
DEPARTMENT OF HEALTH,Future Fund Management Agency
DEPARTMENT OF HOME AFFAIRS,Geoscience Australia
Department of Human Services,IP Australia
Department of Human Services trading as Centrelink,Medicare Australia
DEPARTMENT OF INDUSTRY INNOVATION AND SCIENCE,National Archives of Australia
DEPARTMENT OF INDUSTRY TOURISM AND RESOURCES,National Blood Authority
Department of Infrastructure Regional Development and Cities,National Capital Authority
DEPARTMENT OF JOBS AND SMALL BUSINESS,National Competition Council
Department of Parliamentary Services,National Health and Medical Research Council
DEPARTMENT OF REGIONAL AUSTRALIA LOCAL GOVERNMENT ARTS AND SPORT,National Library of Australia
Department of Resources Energy and Tourism,National Museum of Australia
DEPARTMENT OF SOCIAL SERVICES,National Native Title Tribunal
DEPARTMENT OF THE ENVIRONMENT AND ENERGY,National Offshore Petroleum Safety Authority
DEPARTMENT OF THE SENATE,National Water Commission
DEPARTMENT OF THE TREASURY,Office of National Assessments
DEPT OF DEFENCE ARMY & AIR FORCE CANTEEN SERVICE,Office of Parliamentary Counsel
DEPT OF FOREIGN AFFAIRS & TRADE,Office of the Australian Building and Construction Commissioner (ABCC)
DEPT OF THE HOUSE OF REPRESENTATIVES,Office of the Commonwealth Ombudsman
DEPT OF VETERANS' AFFAIRS & THE REPATRIATION COMMISSION AND THE MILITARY REHABILITATION AND COMPENSATION COMMISSION,Office of the Director of Public Prosecutions
DHS - MEDICARE AUSTRALIA,Office of the Inspector-General of Intelligence and Security
DIGITAL TRANSFORMATION AGENCY,Office of the Official Secretary to the Governor-General
DIRECTOR OF NATIONAL PARKS,Office of the Privacy Commissioner
EXPORT FINANCE AND INSURANCE CORP,Private Health Insurance Ombudsman
FAMILY COURT AND FEDERAL CIRCUIT COURT,Productivity Commission
FEDERAL CIRCUIT COURT OF AUSTRALIA,Questacon
FEDERAL COURT OF AUSTRALIA,Reserve Bank of Australia
FISHERIES RESEARCH & DEVELOPMENT CORP,Royal Australian Mint
FOOD STANDARDS AUSTRALIA NEW ZEALAND,Therapeutic Goods Administration
GEOSCIENCE AUSTRALIA,Tourism Australia
GRAINS RESEARCH & DEVELOPMENT CORPORATION,Workplace Ombudsman
GREAT BARRIER REEF MARINE PARK AUTHORITY,Australian Building and Construction Commission
HIGH COURT OF AUSTRALIA,Australian Fisheries Management Authority
I P AUSTRALIA,Australian Nuclear Science and Technology Organisation (ANSTO)
INDEPENDENT HOSPITAL PRICING AUTHORITY,Australian Pesticides and Veterinary Medicines Authority
INDIGENOUS LAND CORPORATION,Comcare
LAND AND WATER RESOURCES RESEARCH AND DEVELOPMENT CORPORATION,Dairy Adjustment Authority
MIGRATION REVIEW TRIBUNAL AND REFUGEE  REVIEW TRIBUNAL,Department of Climate Change
MURRAY-DARLING BASIN COMMISSION,Department of Communications and the Arts
NA,Department of Education Employment and Workplace Relations
NATIONAL ARCHIVES OF AUSTRALIA,"Department of Families, Housing, Community Services and Indigenous Affairs"
NATIONAL CAPITAL AUTHORITY,"Department of Industry, Innovation and Science"
NATIONAL GALLERY OF AUSTRALIA,Department of Infrastructure Transport Regional Development and Local Government
National Health and Medical Research Council,Department of Resources Energy and Tourism
NATIONAL INDUSTRIAL CHEMICALS NOTIFICATION AND ASSESSMENT SCHEME,Department of Social Services
NATIONAL LIBRARY OF AUSTRALIA,Department of the Environment Water Heritage and the Arts
NATIONAL MUSEUM OF AUSTRALIA,Export Wheat Commission
NATIONAL NATIVE TITLE TRIBUNAL,Great Barrier Reef Marine Park Authority
NATIONAL OCCUPATIONAL HEALTH & SAFETY COMMISSION,Migration Review Tribunal and Refugee Review Tribunal (MRT-RRT)
NATIONAL SCIENCE & TECHNOLOGY CENTRE,National Offshore Petroleum Safety and Environmental Management Authority
NATIONAL TRANSPORT COMMISSION,Office of the Australian Information Commissioner
NORTHERN COMMAND SERGEANTS MESS,Old Parliament House
OFFICE OF NATIONAL ASSESSMENTS,Professional Services Review
OFFICE OF PARLIAMENTARY COUNSEL,Wheat Exports Australia
OFFICE OF THE COMMONWEALTH OMBUDSMAN,Workplace Authority
OFFICE OF THE DIRECTOR OF PUBLIC PROSECUTIONS,Workplace Gender Equality Agency
OFFICE OF THE GENE TECHNOLOGY REGULATOR,Fair Work Commission
OFFICE OF THE OFFICIAL SECRETARY TO THE GOVERNOR-GENERAL,Fair Work Ombudsman and Registered Organisations Commission Entity
OFFICE OF THE PRIVACY COMMISSIONER,Grains Research and Development Corporation
OFFICE OF THE RENEWABLE ENERGY REGULATOR,Murray-Darling Basin Authority
OFFICE OF THE WORKPLACE OMBUDSMAN,Office of the Renewable Energy Regulator
OLD PARLIAMENT HOUSE,Australian Commission for Law Enforcement Integrity
PRIVATE HEALTH INSURANCE OMBUDSMAN,Australian Institute of Health and Welfare
PRODUCTIVITY COMMISSION,Australian Transport Safety Bureau
PROFESSIONAL SERVICES REVIEW,Clean Energy Regulator
RAAF ALPINE SPORTS ASSOCIATION,Department of Climate Change and Energy Efficiency
RAN HMAS CANBERRA SERVICE CANTEEN,Department of Infrastructure and Transport
RAN HMAS WATSON WARDROOM,"Department of Regional Australia, Local Government, Arts and Sport"
ROYAL AUSTRALIAN MINT,Export Finance and Insurance Corporation (EFIC)
ROYAL AUSTRALIAN NAVY CENTRAL CANTEENS BOARD,Office of the Auditing and Assurance Standards Board
RURAL INDUSTRIES RESEARCH & DEVELOPMENT CORPORATION,Office of the Australian Accounting Standards Board
Safe Work Australia,Organ and Tissue Authority
SASSPORT,Safe Work Australia
SPECIAL BROADCASTING SERVICE CORPORATION,Social Security Appeals Tribunal
SYDNEY HARBOUR FEDERATION,Australian National Preventive Health Agency
THE AUSTRALIAN INSTITUTE OF MARINE SCIENCE,Commonwealth of Australia
THE DEPARTMENT OF THE PRIME MINISTER AND CABINET,Department of Health - Therapeutic Goods Administration
THE OFFICIAL TRUSTEE IN BANKRUPTCY,National Gallery of Australia
THERAPEUTIC GOODS ADMINISTRATION,Tertiary Education Quality and Standards Agency
VULNERABILITY ANALYSIS DIRECTORATE,Australian Institute of Criminology
WORKPLACE GENDER EQUALITY AGENCY,Australian Law Reform Commission
Young Endeavour Youth Scheme,Australian Skills Quality Authority
,Climate Change Authority
,Independent Hospital Pricing Authority
,National Mental Health Commission
,Parliamentary Budget Office
,Sydney Harbour Federation Trust
,Telecommunications Universal Service Management Agency
,"Department of Infrastructure, Regional Development and Cities"
,Inspector-General of Taxation
,National Health Funding Body
,National Health Performance Authority
,Asbestos Safety and Eradication Agency
,Australian Aged Care Quality Agency
,Australian National Maritime Museum
,Department of Education and Training
,Department of Jobs and Small Business
,Digital Transformation Agency
,Seacare
,"ENTITY NAME: STARHILL HOTEL (MELBOURNE) PTY LTD"""
,Independent Parliamentary Expenses Authority
,Infrastructure and Project Financing Agency
,Australian Digital Health Agency
